,answers,district,month,query-type,questions,state
119,"[""Dear in your's Javera mandi the rate of Black gram crop is 3700 Rs. minimum/quintal 5400 Rs. maximum/quintal 5400 Rs. average/quintal.""]",DAMOH,8,Market Information,about at black farmer gram javera know madhya mandi of of pradesh rate to wants,MADHYA PRADESH
120,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],BARMER,7,	Plant Protection	,about me root rot tell,RAJASTHAN
121,['Recommended for spray ( confidor) 17.8 % SL  @10-12 ml ./pump.+ Chlorpyriphos 20% ec @ 25-30 ml/pump.'],SAGAR,2,	Plant Protection	,cauliflower control crop farmer how know of pest sucking to to want,MADHYA PRADESH
122,['JODHPUR (GRAIN)  METHI 2305 RS/Q.'],BARMER,6,Market Information,mandi me methi of rate tell,RAJASTHAN
123,"['Varieties \r\nAllahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.', 'Allahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.']",BARMER,6,Seeds and Planting Material,about guava me of tell variety,RAJASTHAN
124,"['CONTACT TO NEAREST BANK BRANCH', 'male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh', 'SUBSIDY ST/SC KO 33% AND GEN./OBC KO 25% HAI', 'CONTACT TO NEATEST BANK BRANCH', 'SUBSIDY OF ANIMAL 25-33 % OF TOTAL COST']",BARMER,9,Credit,about animal me of subsidy tell,RAJASTHAN
125,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF BACTERIAL LEAF BLIGHT IN GREEN GRAM'],BALANGIR,2,	Plant Protection	,bacterial blight gram green in leaf,ODISHA
126,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],ALWAR,6,Cultural Practices,control me remite tell,RAJASTHAN
127,"['recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water...']",JABALPUR,3,	Plant Protection	,attack control crop farmer fungal in information measures need of pumpkin regarding,MADHYA PRADESH
128,['JULY-AUGUST MONTH.'],BARMER,5,Seeds and Planting Material,khajur me planting tell time,RAJASTHAN
129,"['Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.', 'recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP']",SAGAR,3,	Plant Protection	,control coriander crop how in pest sucking to,MADHYA PRADESH
130,['Dear farmer mandi rate facility has been temperary suspended for some time.'],DAMOH,4,Market Information,about facility farmer his in know mandi mobile rate to want,MADHYA PRADESH
131,"['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER', 'SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER']",ALWAR,1,Fertilizer Use and Availability,colour control crop in leaf me tell wheat yellow,RAJASTHAN
132,"['Prior to flooding of urad, treat the seeds with 3 grams of thymium or 2.5 gm of Diethen M-45 per kg seed.', 'Former Bubai Thayrm urad seeds 3 grams or 2.5 grams per kg seed Daythen M-45 to the value of the treated.', 'Treat the Udda seed in the form of 3 grams of Thayaram or 2.5 g of Dheathane M-45 per kg seed before the seed of Budai.']",DAMOH,3,Cultural Practices,about black farmer gram know of seed to treatment want,MADHYA PRADESH
133,"['Madhya Pradesh \tGarhakota \tPulses \tLentil(Masur) \tOther \tFAQ \t3415 \t3771 \t3768 \t01 May 2017', 'Madhya Pradesh\tJavera\tPulses\tLentil(Masur)\tOther\tFAQ\t3400\t3600\t3500\t02 May 2017', 'Recommended for sagar mandi rate of lentil crop rupees 3840 per quintal on may 2017.']",SAGAR,5,Market Information,about crop farmer information know lentil mandi of rate to wants,MADHYA PRADESH
134,['Spray methyl demeton 2ml (or) phosalone 2ml / lit (or) neem oil 3%'],DAMOH,9,	Plant Protection	,control how in know marigold thrips to to want,MADHYA PRADESH
135,['Spraying after 15 days of frozen herbicide quzelofop ethyl 400 ml / acre of berry in 20 days.'],SAGAR,7,Weed Management,black crop farmer gram in information management need regarding weed,MADHYA PRADESH
136,"['Barwani under varieties of papaya, red, yellow, Washington, Mdhubindu, Honeydew, Honeydew Coorg,, 1, CO 3, Pusa teeny, Pusa Delicious, c. O-7 Pusa Majesty, Surya, Taiwan 876 ETC.']",JABALPUR,7,Vegetative Propagation and Tissue Culture,about farmer information know of papaya to varieties want,MADHYA PRADESH
137,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],BANSWARA,4,Weather,control guar in me tell termait,RAJASTHAN
138,['SPACING : 45 x 30 CM'],CUTTACK,1,Cultural Practices,cultural in okra practice,ODISHA
139,['SPRAY OF BOREX 4 GM PER LITER WATER'],ALWAR,2,Fertilizer Use and Availability,bail control craking fruit in me tell,RAJASTHAN
140,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BARMER,8,	Plant Protection	,aphid control in me oilseeds tell,RAJASTHAN
141,['Production and storage capacity - pea seeds Sukhakr good way when 8-10 percent moisture remains in it. Then the seeds stored at a safe location. 1 to 2 years deposits of pea seeds used for sowing can be easily accessible.'],JABALPUR,2,Seeds and Planting Material,content farmer how in know moisture pea seed to to want,MADHYA PRADESH
142,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",ALWAR,5,Government Schemes,batan kheti magzine me ri tell,RAJASTHAN
143,"['VARIETY OF VEGITABLE GUAR - DURGAPURA SADABAHAR, PUSA NAVBAHAR']",AJMER,7,Seeds and Planting Material,about guar me of tell variety vegetable,RAJASTHAN
144,['DETAIL DATA EXPLAINED IN PRADHAN MAINTRI FASALA BIMA JOJANA'],DHENKANAL,7,Weather,bima fasala jojana maintri pradhan,ODISHA
145,"['RECOMMENDED TO SPRAY VIPUAL BOOSTER 2 ML/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 10 KG/ACRE FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 2ML/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 2ML/ LIT WATER FOR BETTER GROWTH AND YIELD  IN BRINJAL']",CUTTACK,9,	Plant Protection	,and better brinjal for growth in yield,ODISHA
146,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],BARMER,1,	Plant Protection	,ber in me tell thrips,RAJASTHAN
147,"['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",ALWAR,7,	Plant Protection	,control in insect me radish tell,RAJASTHAN
148,['SEED RATE OF SUNFLOWER = 8 KG PER HECTER'],ALWAR,5,Seeds,me of rate seed sunflower tell,RAJASTHAN
149,['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,1,Fertilizer Use and Availability,farmer gourd growth how increase information needs of regarding ribbed to,MADHYA PRADESH
150,['50% SUBCIDICE ON JAL HODGE'],AJMER,4,Government Schemes,hodge jal me on subcidice tell,RAJASTHAN
151,['SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING'],BARMER,1,	Plant Protection	,about chilli frost in me saving tell,RAJASTHAN
152,"['recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105,PUSA VISHAL, PUSA 105,JAWAHAR MOONG 721,K 851,HUM 1 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation', 'varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105, HUM-1,TJM-3 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105, HUM-1,TJM-3 are the popular varieties under cultivation.', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105,PUSA VISHAL, PUSA 105,JAWAHAR MOONG 721,K 851,HUM 1 are the popular varieties under cultivation\r\nrecommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105,PUSA VISHAL, PUSA 105,JAWAHAR MOONG 721,K 851,HUM 1 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA. BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation.']",JABALPUR,1,Varieties,about farmer information know moong of to varieties want,MADHYA PRADESH
153,['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or thiamethoxam 10 ml per kg of seed after treat with fungicide or chlorpyriphos 20 EC 5 ml per kg of seed or per liter of water.'],JABALPUR,1,	Plant Protection	,bitter farmer for gourd information needs regarding seed seed treatment,MADHYA PRADESH
154,"['Minimum-1400 Rs/Quintal, Maximum- 1800 Rs/Quintal, Modal price- 1600 Rs/Quintal']",DAMOH,4,Market Information,farmer in information mandi market needs of pathariya rate regarding wheat,MADHYA PRADESH
155,['Recommended  for to control caterpillar in Indoxacarb 14.5 % SC 12 MILI/PUMP.\r\n.'],JABALPUR,4,	Plant Protection	,about caterpillar control farmer how in information know moong to to wants,MADHYA PRADESH
156,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field and emamectin benjoate 5% SG 8- 10 gram per pump', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'oAsafetida nut shaped stone tied to a wrap and flowing water drain and place in a farm. Termites and Ugra disease that shall be destroyed.']",SAGAR,5,	Plant Protection	,cauliflower control crop farmer in information measures needs of pest regarding,MADHYA PRADESH
157,"['CONTACT NUMBER OF ANIMAL HUSBANDRY-1800 180 6224', 'CONTACT NUMBER OF ANIMAL HUSBANDRY 18001806224']",AJMER,9,Dairy Production,animal contact husbandry me number of tell,RAJASTHAN
158,"['Ans:- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'recommended for foliar application of IFFCO0:52:34water soluble fertilizer @ 100 gm/pump.']",SAGAR,2,Fertilizer Use and Availability,about crop farmer growth how increase information know of onion to to want,MADHYA PRADESH
159,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],BANSWARA,4,	Plant Protection	,control in me moong sundi tell,RAJASTHAN
160,"['Pant UD-19, Pant UDF-30, PDM-1 (Spring), U.G. 218, PS-1, Narendra OD-1, WBU-108, D.P.U. 88-31, IPU-94-1 (Uttara), ICPU 94-1 (Uttara),', 'variety of urd-pant u-30,khargon-3,p.d.u.-1,jawahar urd-2,jawahar urd-3,t.p.u.-4']",SAGAR,5,Varieties,about farmer information know of to urd varieties want,MADHYA PRADESH
161,['your number is resistard in sms facility'],JABALPUR,7,	Plant Protection	,about activate facility farmer in information know number sms to want,MADHYA PRADESH
162,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,control in insect me of pea tell,RAJASTHAN
163,"[""Dear in your's sagar mandi the rate of soybean crop is Rs.2693\t minimum/quintal Rs.2827\t maximum/quintal Rs.2785 average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2600 Rs. minimum/quintal 2900 Rs. maximum/quintal 2800 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2700 Rs. minimum/quintal 2920 Rs. maximum/quintal 2850 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2500 Rs. minimum/quintal 3000 Rs. maximum/quintal 2900 Rs. average/quintal.""]",SAGAR,8,Market Information,about at farmer know madhya mandi of of pradesh rate sagar soybean to wants,MADHYA PRADESH
164,['RECOMMENDED TO SPRAY RIDOMIL GOLD @  2.5 GRAM / 1 LIT WATER'],CUTTACK,3,	Plant Protection	,bottle fruit gourd in rot,ODISHA
165,"['Recommended for to control of fungal attack in  green gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water.']",JABALPUR,4,	Plant Protection	,about attack control crop farmer fungal gram green how in information know of to to wants,MADHYA PRADESH
166,"['VAREITY IN BARLEY -RD-2052,2035,2552.']",BARMER,9,Varieties,barley in me tell vareity,RAJASTHAN
167,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,3,	Plant Protection	,controle in mango me pest tell,RAJASTHAN
168,['0144-2330209'],ALWAR,3,	Plant Protection	,contract department fishries me number tell,RAJASTHAN
169,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],BARMER,7,Weather,bajara in tellme thrips,RAJASTHAN
170,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,4,	Plant Protection	,control funges lemon me of tell,RAJASTHAN
171,"['Farmer  wants  to know information about varieties of  bitter gourd?\r\nRecommended  for varieties of  bitter gourd Co 1, MDU 1, COBgoH 1 (Hybrid), Arka Harit, Priya and Preethi are mainly cultivated.']",SAGAR,5,Vegetative Propagation and Tissue Culture,bitter gaourd of vareti,MADHYA PRADESH
172,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,1,	Plant Protection	,groth in me mustard no tell,RAJASTHAN
173,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",ALWAR,9,Government Schemes,adress contact me tell,RAJASTHAN
174,"['JODHPUR (GRAIN)\tGOWAR\t3617 RU / Q', 'JODHPUR (GRAIN)\tGOWAR\t3425 RU / Q']",BARMER,5,Market Information,guar in informetion market me tell,RAJASTHAN
175,['SUBSIDY ON SOLAR PLANT=60% OF TOTAL COST'],AJMER,8,Government Schemes,me of plant solar subsedy tell,RAJASTHAN
176,"['VARIETY OF FODDER SORGHUM= M P CHARI, SSG 59-3, P.C.- 9, P.C.- 23']",BARMER,2,Varieties,me of sorghum tell varitey,RAJASTHAN
177,['APPLY MOP @ 12KG + ZINC SULPHATE @ 7KG + BORAX @ 3KG/ACRE AS SECOND FERTILIZER DOSE IN PADDY'],BALASORE,3,Fertilizer Use and Availability,dose fertilizer in paddy second,ODISHA
178,['SPRAY OF ACE[PHATE 2 GM/LITRWE'],BARMER,2,	Plant Protection	,aphid controol in me mustard tell,RAJASTHAN
179,"['SOYABEAN VARIETY --ANKUR,GOURAV,T-49']",BALANGIR,7,Cultural Practices,soyabean variety,ODISHA
180,['SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER'],AJMER,7,	Plant Protection	,about control disease in marigog me tell,RAJASTHAN
181,['SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER'],BARMER,8,	Plant Protection	,control insect me mong of tell,RAJASTHAN
182,"['Recommended for ICPL-151,ICPL-87,PUSA-33,PUSA-885,KHARGON-2,JAWAHAR-4 are pigeon pea varieties.']",DAMOH,6,Varieties,crop farmer information need of pea pigeon regarding verities,MADHYA PRADESH
183,"['Recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.', 'imedachlorprid 5-7 ml at 15 liter of water.']",DAMOH,1,	Plant Protection	,about control crop farmer how in information know mustard pest sucking to to want,MADHYA PRADESH
184,['RECOMMENDED TO SPRAY TRICYCLAZOLE 75%WP(BLASTIN) @ 10 GRAM / 15 LIT OF WATER'],BALASORE,1,	Plant Protection	,blast rice,ODISHA
185,"['JAIPUR (F & V)\tONION\t600 R/Q', 'KOTA (F & V)  ONION 650 RS/QT', 'AJMER (F & V)\tONION\t600 R/Q', 'AJMER (F & V)\tONION\t650 RS/QT']",ALWAR,1,Market Information,mandi me of onion rate tell,RAJASTHAN
186,['JODHPUR (GRAIN)  JEERA (CUMIN) 15400RS/QT.'],BARMER,5,Market Information,aboutmarket information me tell,RAJASTHAN
187,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER', 'USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE']",ALWAR,8,	Plant Protection	,control cotton in me pest tell,RAJASTHAN
188,"['RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY', 'NO RAINFAL IN NEXT 5 DAY']",BARMER,6,Weather,barmer in me report tell wether,RAJASTHAN
189,"['VARIETY OF CLUSTER BEAN---PUSA NUABAHAR,PUSA SADABAHAR', 'VARIETY OF CLUSTER BEAN-----PUSA MUSAMI,PUSA SADA BAHAR', 'VARIETY OF CLUSTER BEAN ---PUSA MUSAMI,PUSA SADABAHAR']",BALANGIR,3,Cultural Practices,bean cluster of variety,ODISHA
190,"['use recommended dose of chloropyriphos 20EC @ 500-600 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field and Spray emamectin benjoate 5% SG 8- 10 gram per pump or Carbosulfan 25% EC 25-30 ml per pump']",SAGAR,9,Agriculture Mechanization,caterpillars control crop farmer in information larva measures needs of okra regarding,MADHYA PRADESH
191,"['SPRAY OF ACEPHATE 2 GMLITRE', 'SPAY OF CAEPHATE 2 GM/LITRE', 'SPRAY BOF ACEPHATE 2 GM/LITRE']",BARMER,2,	Plant Protection	,aphid control in isabgol me tell,RAJASTHAN
192,"['""???? ?????\t ?????\t ??\t ??? ??\t- 0141-2385423 ???\t?\t""']",ALWAR,8,Market Information,contact department horticulture me numbetr of tell,RAJASTHAN
193,"['SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST  pls contect pashu chikitsalaya', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST\xc2\xa0\xc2\xa0pls contect pashu chikitsalaya', 'SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY\xc2\xa0 25% (ST,SC 33%)OF TOTAL COST\xc2\xa0 PLS CONTACT PASHU CHIKITSALAYA OR BANK', 'male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST', 'SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY  25% (ST,SC 33%)OF TOTAL COST  PLS CONTACT PASHU CHIKITSALAYA OR BANK', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST  PLS CONTECT PASHU CHIKITSALAYA OR BANK', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST  pls contect pashu BANK', 'SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY\xc2\xa0\xc2\xa025% (ST,SC 33%)OF TOTAL COST\xc2\xa0\xc2\xa0PLS CONTACT PASHU CHIKITSALAYA OR BANK', 'SUBSIDY ON DAIRY FARMING= 25% OF TOTAL COST']",BARMER,9,Dairy Production,dairy farming me on subsidy tell,RAJASTHAN
194,['Recommended for spray imedachlorprid @5-7 ml/pump.'],JABALPUR,5,	Plant Protection	,about control crop farmer fly gram green how in information know to to wants white,MADHYA PRADESH
195,['USE-BAVISTIN 200GM PER BIGHA WTIH IRRIGATION.'],BARMER,1,	Plant Protection	,black crop cumin in me root tell,RAJASTHAN
