,answers,district,month,query-type,questions,state
129,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",BANSWARA,4,Government Schemes,batan kheti magzine me ri tell,RAJASTHAN
130,"['VARIETY OF VEGITABLE GUAR - DURGAPURA SADABAHAR, PUSA NAVBAHAR']",AJMER,7,Seeds and Planting Material,about guar me of tell variety vegetable,RAJASTHAN
131,['DETAIL DATA EXPLAINED IN PRADHAN MAINTRI FASALA BIMA JOJANA'],DHENKANAL,7,Weather,bima fasala jojana maintri pradhan,ODISHA
132,"['RECOMMENDED TO SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 10 KG/ACRE FOR BETTER GROWTH AND YIELD IN BRINJAL']",BALANGIR,2,Cultural Practices,and better brinjal for growth in yield,ODISHA
133,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],BARMER,1,	Plant Protection	,ber in me tell thrips,RAJASTHAN
134,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,6,	Plant Protection	,control in insect me radish tell,RAJASTHAN
135,['SEED RATE OF SUNFLOWER = 8 KG PER HECTER'],ALWAR,5,Seeds,me of rate seed sunflower tell,RAJASTHAN
136,['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,1,Fertilizer Use and Availability,farmer gourd growth how increase information needs of regarding ribbed to,MADHYA PRADESH
137,['50% SUBCIDICE ON JAL HODGE'],AJMER,4,Government Schemes,hodge jal me on subcidice tell,RAJASTHAN
138,['SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING'],BARMER,1,	Plant Protection	,about chilli frost in me saving tell,RAJASTHAN
139,"['recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105, HUM-1,TJM-3 are the popular varieties under cultivation']",SAGAR,4,Varieties,about farmer information know moong of to varieties want,MADHYA PRADESH
140,['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or thiamethoxam 10 ml per kg of seed after treat with fungicide or chlorpyriphos 20 EC 5 ml per kg of seed or per liter of water.'],JABALPUR,1,	Plant Protection	,bitter farmer for gourd information needs regarding seed seed treatment,MADHYA PRADESH
141,"['Minimum-1400 Rs/Quintal, Maximum- 1800 Rs/Quintal, Modal price- 1600 Rs/Quintal']",DAMOH,4,Market Information,farmer in information mandi market needs of pathariya rate regarding wheat,MADHYA PRADESH
142,['Recommended  for to control caterpillar in Indoxacarb 14.5 % SC 12 MILI/PUMP.\r\n.'],JABALPUR,4,	Plant Protection	,about caterpillar control farmer how in information know moong to to wants,MADHYA PRADESH
143,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.']",SAGAR,8,	Plant Protection	,cauliflower control crop farmer in information measures needs of pest regarding,MADHYA PRADESH
144,['CONTACT NUMBER OF ANIMAL HUSBANDRY-1800 180 6224'],AJMER,9,Dairy Production,animal contact husbandry me number of tell,RAJASTHAN
145,"['Ans:- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'recommended for foliar application of IFFCO0:52:34water soluble fertilizer @ 100 gm/pump.']",SAGAR,2,Fertilizer Use and Availability,about crop farmer growth how increase information know of onion to to want,MADHYA PRADESH
146,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],BANSWARA,4,	Plant Protection	,control in me moong sundi tell,RAJASTHAN
147,"['Pant UD-19, Pant UDF-30, PDM-1 (Spring), U.G. 218, PS-1, Narendra OD-1, WBU-108, D.P.U. 88-31, IPU-94-1 (Uttara), ICPU 94-1 (Uttara),', 'variety of urd-pant u-30,khargon-3,p.d.u.-1,jawahar urd-2,jawahar urd-3,t.p.u.-4']",SAGAR,5,Varieties,about farmer information know of to urd varieties want,MADHYA PRADESH
148,['your number is resistard in sms facility'],SAGAR,6,Weather,about activate facility farmer in information know number sms to want,MADHYA PRADESH
149,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,control in insect me of pea tell,RAJASTHAN
150,"[""Dear in your's sagar mandi the rate of soybean crop is 2600 Rs. minimum/quintal 2900 Rs. maximum/quintal 2800 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2700 Rs. minimum/quintal 2920 Rs. maximum/quintal 2850 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is Rs.2693\t minimum/quintal Rs.2827\t maximum/quintal Rs.2785 average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2500 Rs. minimum/quintal 3000 Rs. maximum/quintal 2900 Rs. average/quintal.""]",SAGAR,6,Market Information,about at farmer know madhya mandi of of pradesh rate sagar soybean to wants,MADHYA PRADESH
151,['RECOMMENDED TO SPRAY RIDOMIL GOLD @  2.5 GRAM / 1 LIT WATER'],CUTTACK,3,	Plant Protection	,bottle fruit gourd in rot,ODISHA
152,"['Recommended for to control of fungal attack in  green gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water.']",SAGAR,4,	Plant Protection	,about attack control crop farmer fungal gram green how in information know of to to wants,MADHYA PRADESH
153,['0144-2330209'],ALWAR,3,	Plant Protection	,contract department fishries me number tell,RAJASTHAN
154,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,4,	Plant Protection	,control funges lemon me of tell,RAJASTHAN
155,"['Farmer  wants  to know information about varieties of  bitter gourd?\r\nRecommended  for varieties of  bitter gourd Co 1, MDU 1, COBgoH 1 (Hybrid), Arka Harit, Priya and Preethi are mainly cultivated.']",SAGAR,5,Vegetative Propagation and Tissue Culture,bitter gaourd of vareti,MADHYA PRADESH
156,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,1,	Plant Protection	,groth in me mustard no tell,RAJASTHAN
157,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",ALWAR,9,Government Schemes,adress contact me tell,RAJASTHAN
158,"['JODHPUR (GRAIN)\tGOWAR\t3617 RU / Q', 'JODHPUR (GRAIN)\tGOWAR\t3425 RU / Q']",BARMER,5,Market Information,guar in informetion market me tell,RAJASTHAN
159,['SUBSIDY ON SOLAR PLANT=60% OF TOTAL COST'],AJMER,8,Government Schemes,me of plant solar subsedy tell,RAJASTHAN
160,"['VARIETY OF FODDER SORGHUM= M P CHARI, SSG 59-3, P.C.- 9, P.C.- 23']",BARMER,2,Varieties,me of sorghum tell varitey,RAJASTHAN
161,['APPLY MOP @ 12KG + ZINC SULPHATE @ 7KG + BORAX @ 3KG/ACRE AS SECOND FERTILIZER DOSE IN PADDY'],BALASORE,3,Fertilizer Use and Availability,dose fertilizer in paddy second,ODISHA
162,['SPRAY OF ACE[PHATE 2 GM/LITRWE'],BARMER,2,	Plant Protection	,aphid controol in me mustard tell,RAJASTHAN
163,"['SOYABEAN VARIETY --ANKUR,GOURAV,T-49']",BALANGIR,7,Cultural Practices,soyabean variety,ODISHA
164,['SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER'],AJMER,7,	Plant Protection	,about control disease in marigog me tell,RAJASTHAN
165,"['Recommended for ICPL-151,ICPL-87,PUSA-33,PUSA-885,KHARGON-2,JAWAHAR-4 are pigeon pea varieties.']",DAMOH,6,Varieties,crop farmer information need of pea pigeon regarding verities,MADHYA PRADESH
166,"['Recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.', 'imedachlorprid 5-7 ml at 15 liter of water.']",DAMOH,1,	Plant Protection	,about control crop farmer how in information know mustard pest sucking to to want,MADHYA PRADESH
167,['RECOMMENDED TO SPRAY TRICYCLAZOLE 75%WP(BLASTIN) @ 10 GRAM / 15 LIT OF WATER'],BALASORE,1,	Plant Protection	,blast rice,ODISHA
168,"['JAIPUR (F & V)\tONION\t600 R/Q', 'AJMER (F & V)\tONION\t600 R/Q', 'KOTA (F & V)  ONION 650 RS/QT', 'AJMER (F & V)\tONION\t650 RS/QT']",ALWAR,1,Market Information,mandi me of onion rate tell,RAJASTHAN
169,['JODHPUR (GRAIN)  JEERA (CUMIN) 15400RS/QT.'],BARMER,5,Market Information,aboutmarket information me tell,RAJASTHAN
170,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],ALWAR,8,	Plant Protection	,control cotton in me pest tell,RAJASTHAN
171,['NO RAINFAL IN NEXT 5 DAY'],BARMER,3,Weather,barmer in me report tell wether,RAJASTHAN
172,"['VARIETY OF CLUSTER BEAN ---PUSA MUSAMI,PUSA SADABAHAR', 'VARIETY OF CLUSTER BEAN-----PUSA MUSAMI,PUSA SADA BAHAR', 'VARIETY OF CLUSTER BEAN---PUSA NUABAHAR,PUSA SADABAHAR']",BALANGIR,3,Cultural Practices,bean cluster of variety,ODISHA
173,"['use recommended dose of chloropyriphos 20EC @ 500-600 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field and Spray emamectin benjoate 5% SG 8- 10 gram per pump or Carbosulfan 25% EC 25-30 ml per pump']",SAGAR,9,Agriculture Mechanization,caterpillars control crop farmer in information larva measures needs of okra regarding,MADHYA PRADESH
174,"['SPRAY BOF ACEPHATE 2 GM/LITRE', 'SPRAY OF ACEPHATE 2 GMLITRE', 'SPAY OF CAEPHATE 2 GM/LITRE']",BARMER,2,	Plant Protection	,aphid control in isabgol me tell,RAJASTHAN
175,"['""???? ?????\t ?????\t ??\t ??? ??\t- 0141-2385423 ???\t?\t""']",ALWAR,8,Market Information,contact department horticulture me numbetr of tell,RAJASTHAN
176,"['SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY\xc2\xa0 25% (ST,SC 33%)OF TOTAL COST\xc2\xa0 PLS CONTACT PASHU CHIKITSALAYA OR BANK']",ALWAR,9,Market Information,dairy farming me on subsidy tell,RAJASTHAN
177,['Recommended for spray imedachlorprid @5-7 ml/pump.'],JABALPUR,5,	Plant Protection	,about control crop farmer fly gram green how in information know to to wants white,MADHYA PRADESH
178,['USE-BAVISTIN 200GM PER BIGHA WTIH IRRIGATION.'],BARMER,1,	Plant Protection	,black crop cumin in me root tell,RAJASTHAN
179,"['aidmire=5gm+chilmix combi=40gm+vairason=30gm+stikar=10ml,,15 LITER WATER']",THANE,1,	Plant Protection	,attack papaya vairas,MAHARASHTRA
180,"['RANI\tGRAM\t5400 RS/Q', 'BIKANER MANDI RATE (GRAIN) GRAM 4773RS/QT', 'BEAWAR  GRAM 4975 RS/QU.', 'BIKANER (GRAIN)  GRAM 5705 RS/QT', 'BIKANER (GRAIN)  GRAM 4850  R/Q', 'JODHPUR (GRAIN)\tGRAM\t5300 RS/Q', 'JOGHPUR MANDI RATE OF GRAM 4697 RS/QT', 'BIKANER  MANDI RATE OF   GRAM 5256  RS/QUNTAL', 'KEKRI  GRAM 4650 RS/Q', 'KEKRI  GRAM 4851 RS/QT', 'SAWAI MADHOPUR  MANDI RATE OF  GRAM 5168  RS/QUNTAL', 'BIKANER (GRAIN)  GRAM 4941', 'MADANGANJ KISHANGARH MANDI RATE OF GRAM 4875  RS /Q', 'JODHPUR (GRAIN)  GRAM 5350 RS/QU.', 'JODHPUR MANDI RATE OF GRAM 5350 RS /Q', 'JAIPUR (GRAIN)  GRAM 5200 RS/Q.', 'JODHPUR (GRAIN)  GRAM 5255', 'JODHPUR (GRAIN)\tGRAM\t5250', 'ALWAR\tGRAM\t5125 RS/Q', 'BIKANER MANDI RATE OF GRAM  5105  RS /Q', 'JAIPUR (GRAIN)  GRAM 5200 R/Q', 'KEKRI MANDI RATE OF   GRAM 5215   RS/Q', 'NOKHA\tGRAM\t5333 RS/QT', 'KEKRI  GRAM 4850 RS/QU.', 'JODHPUR MANDI RATE OF GRAM  5250  RS/Q', 'JODHPUR (GRAIN)  GRAM 5250 RS/QT', 'KEKRI\tGRAM\t6501 RS/Q', 'BIKANER MANDI RATE OF GRAM 5625 RS/Q', 'KEKRI  GRAM 5250 RS/Q.', 'JODHPUR (GRAIN)  GRAM 5137 RS/QT', 'NAGAUR  GRAM 5000 RS/Q.', 'JODHPUR MANDI RATE OF GRAM 5255 RS/QUNTAL', 'JODHPUR (GRAIN)\tGRAM\t4700 RS/QT', 'BHILWARA\tGRAM\t5400 RS/Q', 'KEKRI  GRAM 5151 RS/QU.', 'JODHPUR (GRAIN)\tGRAM\t4550\t RS/Q', 'BIKANER (GRAIN)  GRAM 5632 RS/QU.', 'MANDI RATE JODHPUR (GRAIN)\tGRAM\t5200RS/QT', 'ALWAR  GRAM 5150 RS/Q.', 'KEKRI MANDI RATE OF GRAM 5325 RS /Q', 'JODHPUR (GRAIN)\tGRAM\t5250 rs/qt', 'JODHPUR (GRAIN)  GRAM 5100 RS/QU.', 'ALWAR MANDI RATE OF GRAM 4900RS/QT', 'MAND RATE OF  GRAM (ALWER) -=  4750 R.S./QT']",BARMER,3,Market Information,gram mandi me of rate tell,RAJASTHAN
181,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custerd apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.']",SAGAR,3,	Plant Protection	,control crop farmer in information measures needs of onion pest regarding,MADHYA PRADESH
182,['Recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water'],JABALPUR,2,	Plant Protection	,about attack control crop farmer fungal how in information know of to to wants wheat,MADHYA PRADESH
183,"['SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER']",ALWAR,6,	Plant Protection	,brinjal control insect me of tell,RAJASTHAN
184,['recommended dose of Amino acid 10 ml at 15 liter of water for increase flowering in soyabean  crop'],SAGAR,8,Nutrient Management,farmer flower in increase information needs regarding soybean,MADHYA PRADESH
185,['Spray of Baojim 20 to 25 ml / 16 litr of water'],SAGAR,5,Nutrient Management,about bean crop farmer information know moong of plant to tonic want,MADHYA PRADESH
186,['SPRAY OF BOREX 4 GM/LITRE'],BARMER,5,	Plant Protection	,control crecking frit in lemon me tell,RAJASTHAN
187,['JODHPUR (GRAIN)\tMOONG (LOCAL)\t4305 RU / Q'],BARMER,1,Weather,baaw in jodhprr mandi me tell,RAJASTHAN
188,['SPRAY TRIAZOPHOS @ 2ML/1LIT WATER FOR CHEWING PEST IN LEAFY VEGETABLE'],BALANGIR,5,	Plant Protection	,chewing in leafy pest vegetable,ODISHA
189,['CONTACT NEAR BANK'],ALWAR,9,Dairy Production,about dairy lown me tell,RAJASTHAN
190,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],AJMER,4,	Plant Protection	,bottle control gourd me pest tell,RAJASTHAN
191,['Recommended for Spray of Queenolfos 25 EC 1000 Ml. / hac.'],JABALPUR,5,	Plant Protection	,caterpillars control crop farmer in information maize measures need of regarding,MADHYA PRADESH
192,['USE CHLOROPYRIFOS 20% EC 2 ML PER LITER WATER IN ROOT ZONE'],ALWAR,1,	Plant Protection	,bail control in me tell termaite,RAJASTHAN
193,['MASROOM TRAINING NUMBER -01542440532'],AJMER,5,Training and Exposure Visits,contact masroom me number of tell training,RAJASTHAN
194,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",AJMER,8,	Plant Protection	,control in insect me tell urd,RAJASTHAN
195,['recommended for spray to planofix 5-7 mili/pump'],DAMOH,8,Cultural Practices,black control crop drop flower gram how in to,MADHYA PRADESH
196,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,1,	Plant Protection	,control diease in me tell tomato,RAJASTHAN
197,"['Recommended for Spray Use Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.']",DAMOH,2,	Plant Protection	,about black control crop farmer how in information know rust to to want wheat,MADHYA PRADESH
198,['YOU CAN NOT USE HERBICIDE IN STANDING CROP OF BHINDI'],ALWAR,2,Weather,about bhindi in management me tell weed,RAJASTHAN
199,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,3,	Plant Protection	,about control in insect me tell watermelon,RAJASTHAN
200,['Recommended for irrigate the crop if leaf down in the time of evening.'],JABALPUR,5,	Water Management	,about crop farmer information irrigate know the to urd wants when,MADHYA PRADESH
201,['Recommended  for to control of tarmit attack in groundnut crop plz drench the field with chlorpyriphos'],SAGAR,7,	Plant Protection	,about attack control crop farmer groundnut how in information know of tarmit to to wants,MADHYA PRADESH
202,['Recommended for to increase growth of barbati  foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.'],SAGAR,4,Fertilizer Use and Availability,about cowpea crop farmer growth how increase information know of to to wants,MADHYA PRADESH
203,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],AJMER,8,	Plant Protection	,about botal control gard in me pest tell,RAJASTHAN
204,"['VARIETY OF BHINDI =  PARBHANI KRANTI, PUSA MAKHMALI, ARKA ANAMIKA']",BARMER,3,Vegetative Propagation and Tissue Culture,me of tell variety vegitable,RAJASTHAN
205,['Recommended for to control of fungal attack in gram crop use Validamycin 25ml at 15 liter of water'],SAGAR,2,	Plant Protection	,about attack control crop farmer fungal gram how in know to to wants,MADHYA PRADESH
206,['SPRAY OF INDOXACARB .5 ML-mencozeb 2 gm/litre'],BARMER,1,	Plant Protection	,brinjal ciontrol fyngal in me tel,RAJASTHAN
207,['BEAWAR  SAUNF 5200 RS/Q'],AJMER,3,	Plant Protection	,information mandi me tell,RAJASTHAN
208,"['Recommended for to control caterpillars in  soyabean crop Spray emamectin benzoate 8- 10 gram or corajan, fem 4-5 ml at 15 liter of water or indoxa carb 12-15 ml at 15 liter of water.', 'Recommended for to control caterpillars in gram  crop Spray emamectin benzoate 8- 10 gram or corajan, fem 4-5 ml at 15 liter of water or indoxa carb 12-15 ml at 15 liter of water.', 'Spray Chloropyriphos 20 EC, 20 ml per pump']",SAGAR,8,	Plant Protection	,about caterpillars control crop farmer how in information know soyabean to to wants,MADHYA PRADESH
209,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,8,	Plant Protection	,attack control crop farmer fungal ginger in information measures need of regarding,MADHYA PRADESH
210,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,7,	Plant Protection	,contr cotton in insect me tell,RAJASTHAN
211,"['UPLAND VARIETY OF PADDY -KHENTESWARI,PATHARA,KHENDAGIRI,PARIJAT']",BALASORE,6,Cultural Practices,of paddy upland variety,ODISHA
212,"['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER']",ALWAR,7,	Plant Protection	,chillis control curl in leaf me of tell,RAJASTHAN
213,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,6,Nutrient Management,in loki management me nutrient tell,RAJASTHAN
