,answers,changed-questions,district,month,query-type,state
122,['JODHPUR (GRAIN)  METHI 2305 RS/Q.'],mandi methi rate tell,BARMER,6,Market Information,RAJASTHAN
123,"['Varieties \r\nAllahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.', 'Allahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.']",guava tell variety,BARMER,6,Seeds and Planting Material,RAJASTHAN
124,"['CONTACT TO NEAREST BANK BRANCH', 'male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh', 'SUBSIDY ST/SC KO 33% AND GEN./OBC KO 25% HAI', 'CONTACT TO NEATEST BANK BRANCH', 'SUBSIDY OF ANIMAL 25-33 % OF TOTAL COST']",animal subsidy tell,BARMER,9,Credit,RAJASTHAN
125,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF BACTERIAL LEAF BLIGHT IN GREEN GRAM'],bacterial blight gram green leaf,BALANGIR,2,	Plant Protection	,ODISHA
126,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],control remite tell,ALWAR,6,Cultural Practices,RAJASTHAN
127,"['recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water...']",attack control crop farmer fungal information measures need pumpkin regarding,JABALPUR,3,	Plant Protection	,MADHYA PRADESH
128,['JULY-AUGUST MONTH.'],khajur planting tell time,BARMER,5,Seeds and Planting Material,RAJASTHAN
129,"['Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.', 'recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP']",control coriander crop pest sucking,SAGAR,3,	Plant Protection	,MADHYA PRADESH
130,['Dear farmer mandi rate facility has been temperary suspended for some time.'],facility farmer know mandi mobile rate want,DAMOH,4,Market Information,MADHYA PRADESH
131,"['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER', 'SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER']",colour control crop leaf tell wheat yellowing,ALWAR,1,Fertilizer Use and Availability,RAJASTHAN
132,"['Prior to flooding of urad, treat the seeds with 3 grams of thymium or 2.5 gm of Diethen M-45 per kg seed.', 'Former Bubai Thayrm urad seeds 3 grams or 2.5 grams per kg seed Daythen M-45 to the value of the treated.', 'Treat the Udda seed in the form of 3 grams of Thayaram or 2.5 g of Dheathane M-45 per kg seed before the seed of Budai.']",black farmer gram know seed treatment want,DAMOH,3,Cultural Practices,MADHYA PRADESH
133,"['Madhya Pradesh \tGarhakota \tPulses \tLentil(Masur) \tOther \tFAQ \t3415 \t3771 \t3768 \t01 May 2017', 'Madhya Pradesh\tJavera\tPulses\tLentil(Masur)\tOther\tFAQ\t3400\t3600\t3500\t02 May 2017', 'Recommended for sagar mandi rate of lentil crop rupees 3840 per quintal on may 2017.']",crop farmer information know lentil mandi rate wants,SAGAR,5,Market Information,MADHYA PRADESH
134,['Spray methyl demeton 2ml (or) phosalone 2ml / lit (or) neem oil 3%'],control know marigold thrips want,DAMOH,9,	Plant Protection	,MADHYA PRADESH
135,['Spraying after 15 days of frozen herbicide quzelofop ethyl 400 ml / acre of berry in 20 days.'],black crop farmer gram information management need regarding weed,SAGAR,7,Weed Management,MADHYA PRADESH
136,"['Barwani under varieties of papaya, red, yellow, Washington, Mdhubindu, Honeydew, Honeydew Coorg,, 1, CO 3, Pusa teeny, Pusa Delicious, c. O-7 Pusa Majesty, Surya, Taiwan 876 ETC.']",farmer information know papaya varieties want,JABALPUR,7,Vegetative Propagation and Tissue Culture,MADHYA PRADESH
137,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],control guar tell termait,BANSWARA,4,Weather,RAJASTHAN
138,['SPACING : 45 x 30 CM'],cultural okra practice,CUTTACK,1,Cultural Practices,ODISHA
139,['SPRAY OF BOREX 4 GM PER LITER WATER'],bail control craking fruit tell,ALWAR,2,Fertilizer Use and Availability,RAJASTHAN
140,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],aphid control oilseeds tell,BARMER,8,	Plant Protection	,RAJASTHAN
141,['Production and storage capacity - pea seeds Sukhakr good way when 8-10 percent moisture remains in it. Then the seeds stored at a safe location. 1 to 2 years deposits of pea seeds used for sowing can be easily accessible.'],content farmer know moisture pea seed want,JABALPUR,2,Seeds and Planting Material,MADHYA PRADESH
142,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",batan kheti magzine ri tell,ALWAR,5,Government Schemes,RAJASTHAN
143,"['VARIETY OF VEGITABLE GUAR - DURGAPURA SADABAHAR, PUSA NAVBAHAR']",guar tell variety vegetable,AJMER,7,Seeds and Planting Material,RAJASTHAN
144,['DETAIL DATA EXPLAINED IN PRADHAN MAINTRI FASALA BIMA JOJANA'],bima fasala jojana maintri pradhan,DHENKANAL,7,Weather,ODISHA
145,"['RECOMMENDED TO SPRAY VIPUAL BOOSTER 2 ML/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 10 KG/ACRE FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 2ML/ LIT WATER FOR BETTER GROWTH AND YIELD IN BRINJAL', 'RECOMMENDED TO SPRAY VIPUAL BOOSTER 2ML/ LIT WATER FOR BETTER GROWTH AND YIELD  IN BRINJAL']",better brinjal growth yield,CUTTACK,9,	Plant Protection	,ODISHA
146,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ber tell thrips,BARMER,1,	Plant Protection	,RAJASTHAN
147,"['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",control insect radish tell,ALWAR,7,	Plant Protection	,RAJASTHAN
148,['SEED RATE OF SUNFLOWER = 8 KG PER HECTER'],rate seed sunflower tell,ALWAR,5,Seeds,RAJASTHAN
149,['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],farmer gourd growth increase information needs regarding ribbed,SAGAR,1,Fertilizer Use and Availability,MADHYA PRADESH
150,['50% SUBCIDICE ON JAL HODGE'],hodge jal subcidice tell,AJMER,4,Government Schemes,RAJASTHAN
151,['SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING'],chilli frost saving tell,BARMER,1,	Plant Protection	,RAJASTHAN
152,"['recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105,PUSA VISHAL, PUSA 105,JAWAHAR MOONG 721,K 851,HUM 1 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation', 'varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105, HUM-1,TJM-3 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105, HUM-1,TJM-3 are the popular varieties under cultivation.', 'recommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105,PUSA VISHAL, PUSA 105,JAWAHAR MOONG 721,K 851,HUM 1 are the popular varieties under cultivation\r\nrecommended for varieties of  moong K851,ML131,PUSA BAISAKHI,PS16,PUSA105,PUSA VISHAL, PUSA 105,JAWAHAR MOONG 721,K 851,HUM 1 are the popular varieties under cultivation', 'recommended for varieties of  moong K851,ML131,PUSA. BAISAKHI,PS16,PUSA105 are the popular varieties under cultivation.']",farmer information know moong varieties want,JABALPUR,1,Varieties,MADHYA PRADESH
153,['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or thiamethoxam 10 ml per kg of seed after treat with fungicide or chlorpyriphos 20 EC 5 ml per kg of seed or per liter of water.'],bitter farmer gourd information needs regarding seed seed treatment,JABALPUR,1,	Plant Protection	,MADHYA PRADESH
154,"['Minimum-1400 Rs/Quintal, Maximum- 1800 Rs/Quintal, Modal price- 1600 Rs/Quintal']",farmer information mandi market needs pathariya rate regarding wheat,DAMOH,4,Market Information,MADHYA PRADESH
155,['Recommended  for to control caterpillar in Indoxacarb 14.5 % SC 12 MILI/PUMP.\r\n.'],caterpillar control farmer information know moong wants,JABALPUR,4,	Plant Protection	,MADHYA PRADESH
156,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field and emamectin benjoate 5% SG 8- 10 gram per pump', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'oAsafetida nut shaped stone tied to a wrap and flowing water drain and place in a farm. Termites and Ugra disease that shall be destroyed.']",cauliflower control crop farmer information measures needs pest regarding,SAGAR,5,	Plant Protection	,MADHYA PRADESH
157,"['CONTACT NUMBER OF ANIMAL HUSBANDRY-1800 180 6224', 'CONTACT NUMBER OF ANIMAL HUSBANDRY 18001806224']",animal contact farming number tell,AJMER,9,Dairy Production,RAJASTHAN
158,"['Ans:- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'recommended for foliar application of IFFCO0:52:34water soluble fertilizer @ 100 gm/pump.']",crop farmer growth increase information know onion want,SAGAR,2,Fertilizer Use and Availability,MADHYA PRADESH
159,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],control moong sundi tell,BANSWARA,4,	Plant Protection	,RAJASTHAN
160,"['Pant UD-19, Pant UDF-30, PDM-1 (Spring), U.G. 218, PS-1, Narendra OD-1, WBU-108, D.P.U. 88-31, IPU-94-1 (Uttara), ICPU 94-1 (Uttara),', 'variety of urd-pant u-30,khargon-3,p.d.u.-1,jawahar urd-2,jawahar urd-3,t.p.u.-4']",farmer information know urd varieties want,SAGAR,5,Varieties,MADHYA PRADESH
161,['your number is resistard in sms facility'],activated facility farmer information know number sms want,JABALPUR,7,	Plant Protection	,MADHYA PRADESH
162,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],control insect pea tell,ALWAR,2,	Plant Protection	,RAJASTHAN
163,"[""Dear in your's sagar mandi the rate of soybean crop is Rs.2693\t minimum/quintal Rs.2827\t maximum/quintal Rs.2785 average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2600 Rs. minimum/quintal 2900 Rs. maximum/quintal 2800 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2700 Rs. minimum/quintal 2920 Rs. maximum/quintal 2850 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of soybean crop is 2500 Rs. minimum/quintal 3000 Rs. maximum/quintal 2900 Rs. average/quintal.""]",farmer know madhya mandi pradesh rate sagar soybean wants,SAGAR,8,Market Information,MADHYA PRADESH
164,['RECOMMENDED TO SPRAY RIDOMIL GOLD @  2.5 GRAM / 1 LIT WATER'],bottle fruit gourd rot,CUTTACK,3,	Plant Protection	,ODISHA
165,"['Recommended for to control of fungal attack in  green gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water.']",attack control crop farmer fungal gram green information know wants,JABALPUR,4,	Plant Protection	,MADHYA PRADESH
166,"['VAREITY IN BARLEY -RD-2052,2035,2552.']",barley tell vareity,BARMER,9,Varieties,RAJASTHAN
167,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],controle mango pest tell,ALWAR,3,	Plant Protection	,RAJASTHAN
168,['0144-2330209'],contract department fishries number tell,ALWAR,3,	Plant Protection	,RAJASTHAN
169,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],bajara tellme thrips,BARMER,7,Weather,RAJASTHAN
170,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],control funges lemon tell,ALWAR,4,	Plant Protection	,RAJASTHAN
171,"['Farmer  wants  to know information about varieties of  bitter gourd?\r\nRecommended  for varieties of  bitter gourd Co 1, MDU 1, COBgoH 1 (Hybrid), Arka Harit, Priya and Preethi are mainly cultivated.']",bitter gaourd vareti,SAGAR,5,Vegetative Propagation and Tissue Culture,MADHYA PRADESH
172,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],groth mustard tell,ALWAR,1,	Plant Protection	,RAJASTHAN
173,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",adress contact tell,ALWAR,9,Government Schemes,RAJASTHAN
174,"['JODHPUR (GRAIN)\tGOWAR\t3617 RU / Q', 'JODHPUR (GRAIN)\tGOWAR\t3425 RU / Q']",guar informetion market tell,BARMER,5,Market Information,RAJASTHAN
175,['SUBSIDY ON SOLAR PLANT=60% OF TOTAL COST'],plant solar subsedy tell,AJMER,8,Government Schemes,RAJASTHAN
176,"['VARIETY OF FODDER SORGHUM= M P CHARI, SSG 59-3, P.C.- 9, P.C.- 23']",sorghum tell varitey,BARMER,2,Varieties,RAJASTHAN
177,['APPLY MOP @ 12KG + ZINC SULPHATE @ 7KG + BORAX @ 3KG/ACRE AS SECOND FERTILIZER DOSE IN PADDY'],dose fertilizer paddy second,BALASORE,3,Fertilizer Use and Availability,ODISHA
178,['SPRAY OF ACE[PHATE 2 GM/LITRWE'],aphid controol mustard tell,BARMER,2,	Plant Protection	,RAJASTHAN
179,"['SOYABEAN VARIETY --ANKUR,GOURAV,T-49']",soyabean variety,BALANGIR,7,Cultural Practices,ODISHA
180,['SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER'],control disease marigog tell,AJMER,7,	Plant Protection	,RAJASTHAN
181,['SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER'],control insect mong tell,BARMER,8,	Plant Protection	,RAJASTHAN
182,"['Recommended for ICPL-151,ICPL-87,PUSA-33,PUSA-885,KHARGON-2,JAWAHAR-4 are pigeon pea varieties.']",crop farmer information need pea pigeon regarding verities,DAMOH,6,Varieties,MADHYA PRADESH
183,"['Recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.', 'imedachlorprid 5-7 ml at 15 liter of water.']",control crop farmer information know mustard pest sucking want,DAMOH,1,	Plant Protection	,MADHYA PRADESH
184,['RECOMMENDED TO SPRAY TRICYCLAZOLE 75%WP(BLASTIN) @ 10 GRAM / 15 LIT OF WATER'],blast rice,BALASORE,1,	Plant Protection	,ODISHA
185,"['JAIPUR (F & V)\tONION\t600 R/Q', 'KOTA (F & V)  ONION 650 RS/QT', 'AJMER (F & V)\tONION\t600 R/Q', 'AJMER (F & V)\tONION\t650 RS/QT']",mandi onion rate tell,ALWAR,1,Market Information,RAJASTHAN
186,['JODHPUR (GRAIN)  JEERA (CUMIN) 15400RS/QT.'],aboutmarket information tell,BARMER,5,Market Information,RAJASTHAN
187,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER', 'USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE']",control cotton pest tell,ALWAR,8,	Plant Protection	,RAJASTHAN
188,"['RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY', 'NO RAINFAL IN NEXT 5 DAY']",barmer report tell wether,BARMER,6,Weather,RAJASTHAN
189,"['VARIETY OF CLUSTER BEAN---PUSA NUABAHAR,PUSA SADABAHAR', 'VARIETY OF CLUSTER BEAN-----PUSA MUSAMI,PUSA SADA BAHAR', 'VARIETY OF CLUSTER BEAN ---PUSA MUSAMI,PUSA SADABAHAR']",bean cluster variety,BALANGIR,3,Cultural Practices,ODISHA
190,"['use recommended dose of chloropyriphos 20EC @ 500-600 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field and Spray emamectin benjoate 5% SG 8- 10 gram per pump or Carbosulfan 25% EC 25-30 ml per pump']",caterpillars control crop farmer information larva measures needs okra regarding,SAGAR,9,Agriculture Mechanization,MADHYA PRADESH
191,"['SPRAY OF ACEPHATE 2 GMLITRE', 'SPAY OF CAEPHATE 2 GM/LITRE', 'SPRAY BOF ACEPHATE 2 GM/LITRE']",aphid control isabgol tell,BARMER,2,	Plant Protection	,RAJASTHAN
192,"['""???? ?????\t ?????\t ??\t ??? ??\t- 0141-2385423 ???\t?\t""']",contact department horticulture numbetr tell,ALWAR,8,Market Information,RAJASTHAN
193,"['SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST  pls contect pashu chikitsalaya', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST\xc2\xa0\xc2\xa0pls contect pashu chikitsalaya', 'SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY\xc2\xa0 25% (ST,SC 33%)OF TOTAL COST\xc2\xa0 PLS CONTACT PASHU CHIKITSALAYA OR BANK', 'male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST', 'SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY  25% (ST,SC 33%)OF TOTAL COST  PLS CONTACT PASHU CHIKITSALAYA OR BANK', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST  PLS CONTECT PASHU CHIKITSALAYA OR BANK', 'SUBSIDY ON DAIRY FARMING= 25% (ST,SC 33%)OF TOTAL COST  pls contect pashu BANK', 'SUBSIDY ON DAIRY FARMING=GENERAL CATEGORY\xc2\xa0\xc2\xa025% (ST,SC 33%)OF TOTAL COST\xc2\xa0\xc2\xa0PLS CONTACT PASHU CHIKITSALAYA OR BANK', 'SUBSIDY ON DAIRY FARMING= 25% OF TOTAL COST']",dairy farming subsidy tell,BARMER,9,Dairy Production,RAJASTHAN
194,['Recommended for spray imedachlorprid @5-7 ml/pump.'],control crop farmer fly gram green information know wants white,JABALPUR,5,	Plant Protection	,MADHYA PRADESH
195,['USE-BAVISTIN 200GM PER BIGHA WTIH IRRIGATION.'],black crop cumin root tell,BARMER,1,	Plant Protection	,RAJASTHAN
196,"['aidmire=5gm+chilmix combi=40gm+vairason=30gm+stikar=10ml,,15 LITER WATER']",attack papaya vairas,THANE,1,	Plant Protection	,MAHARASHTRA
197,"['NAGAUR  GRAM 5000 RS/Q.', 'JODHPUR (GRAIN)  GRAM 5137 RS/QT', 'JODHPUR (GRAIN)  GRAM 5100 RS/QU.', 'ALWAR  GRAM 5150 RS/Q.', 'JODHPUR (GRAIN)  GRAM 5250 RS/QT', 'NOKHA\tGRAM\t5333 RS/QT', 'RANI\tGRAM\t5400 RS/Q', 'KEKRI MANDI RATE OF GRAM 4750 RS/Q', 'KEKRI  GRAM 5130 RS/QU.', 'JODHPUR (GRAIN)  GRAM 5255', 'KEKRI  GRAM 5151 RS/QU.', 'BIKANER MANDI RATE OF GRAM  5105  RS /Q', 'JODHPUR (GRAIN)\tGRAM\t5250', 'KEKRI  GRAM 5250 RS/Q.', 'JODHPUR MANDI RATE OF GRAM 5350 RS /Q', 'KEKRI MANDI RATE OF GRAM 5325 RS /Q', 'BIKANER (GRAIN)  GRAM 5632 RS/QU.', 'MANDI RATE JODHPUR (GRAIN)\tGRAM\t5200RS/QT', 'BIKANER (GRAIN)  GRAM 5705 RS/QT', 'KEKRI  GRAM 4650 RS/Q', 'BIKANER MANDI RATE (GRAIN) GRAM 4773RS/QT', 'JODHPUR MANDI RATE OF GRAM 5255 RS/QUNTAL', 'BIKANER (GRAIN)  GRAM 4941', 'BIKANER  MANDI RTAE OF \tGRAM 5225 RS/QUNTAL', 'BIKANER MANDI RATE OF GRAM 5625 RS/Q', 'KEKRI  GRAM 4650 RS/QT', 'BIKANER MANDI RATE OF GRAM  5622  RS /Q', 'BIKANER (GRAIN)\tGRAM\t4952 RS/Q', 'BIKANER  MANDI RATE OF   GRAM 5256  RS/QUNTAL', 'JODHPUR (GRAIN)\tGRAM\t4700 RS/QT', 'JODHPUR (GRAIN)  GRAM 5225 RS/QT', 'JODHPUR MANDI RATE OF GRAM  5250  RS/Q', 'JODHPUR (GRAIN)\tGRAM\t5300 RS/Q', 'KEKRI  GRAM 4850 RS/QU.', 'JODHPUR (GRAIN)\tGRAM\t4550\t RS/Q', 'BIKANER (GRAIN)  GRAM 5746 RS/QU.', 'BANDIKUI\tGRAM\t4000 R/Q', 'BIKANER MANDI RATE OF GRAM 5622 RS /Q', 'MADANGANJ KISHANGARH MANDI RATE OF GRAM 4875  RS /Q', 'ALWAR\tGRAM\t5393 RS/Q', 'JODHPUR (GRAIN)  GRAM 5350 RS/QU.', 'KEKRI MANDI RATE OF   GRAM 5215   RS/Q', 'BEAWAR  GRAM 4975 RS/QU.', 'ALWAR\tGRAM\t4775  RS /Q', 'BIKANER MANDI RATE OF \tGRAM\t5586 RS/QUNTAL', 'KEKRI\tGRAM\t6501 RS/Q', 'MANDI RATE OF GRAM-4000 RS/QT', 'BHILWARA\tGRAM\t5400 RS/Q', 'MAND RATE OF  GRAM (ALWER) -=  4750 R.S./QT', 'BIKANER (GRAIN)  GRAM 4850  R/Q', 'BIKANER (GRAIN)  GRAM 4730 RS/QU.', 'JAIPUR (GRAIN)  GRAM 5200 R/Q', 'JAIPUR (GRAIN)  GRAM 5200 RS/Q.', 'BEAWAR\tGRAM\t5200 rs/q', 'ALWAR MANDI RATE OF GRAM 4900RS/QT', 'ALWAR MANDI RATE OF GRAM 5475  RS/Q', 'JODHPUR (GRAIN)\tGRAM\t5005 RS/Q', 'JOGHPUR MANDI RATE OF GRAM 4697 RS/QT', 'ALWAR\tGRAM\t5125 RS/Q', 'SAWAI MADHOPUR  MANDI RATE OF  GRAM 5168  RS/QUNTAL', 'JODHPUR (GRAIN)\tGRAM\t4685 RS/Q', 'JODHPUR (GRAIN)  GRAM 5350 RS/Q.', 'JODHPUR (GRAIN)\tGRAM\t4350 RS/Q', 'JODHPUR (GRAIN)\tGRAM\t5250 rs/qt', 'KEKRI  GRAM 4851 RS/QT', 'JODHPUR MANDI RATE OF GRAM 5550 RS/Q']",gram mandi rate tell,AJMER,4,Market Information,RAJASTHAN
